CID,SMILES,solubility_mean,solubility
2374148,COC1=CC=C(C=C1)OCC2=NNC(=S)N2N,10.85,moderate
5295761,CC1=CC(=C(C=C1)NC2=NC3=CC=CC=C3N4C2=NN=C4)Cl,0.1,low
22431387,CC1=CC(=CC=C1)CCNC2=NC3=C(C=C(C=C3)C)N4C2=NN=C4,0.1,low
14296,CC1=C(N=C(C(=N1)C)C)C,0.1,low
865684,CC1=CC2=NC(=C(C=C2C=C1)C#N)NC3=CC=CC=C3OC,0.2,low
2744502,CC1=C(N(OC1=O)C)C2=NC(=NO2)C3=CC=C(C=C3)C(C)(C)C,0.2,low
9563176,CC(C)C1=CC=C(C=C1)/C=N/NC(=O)CC(=O)NC2CCCCC2,0.2,low
2818439,COC(=O)CCN1CCC2=C1C=CC(=C2)N=NC3=CC=C(C=C3)[N+](=O)[O-],0.2,low
9614794,C/C(=N\NC1=NN=CC2=CC=CC=C21)/C3=CC(=CC=C3)OC(F)F,0.2,low
9516,CN(C)C1=CC=C(C=C1)N=NC2=CC(=CC=C2)F,0.2,low
2821672,CC1=CC(=NC2=C(C(=NN12)C(C)(C)C)Cl)C(F)(F)F,0.2,low
5431096,CC1=NN(C(=C1Cl)C(=O)N/N=C(\C)/C2=CC=C(C=C2)NC(=O)C3CCC3)C,0.2,low
6885132,COC1=CC=C(C=C1)CN\2C(=O)CS/C2=N/N=C/C3=CC=CS3,0.2,low
2731492,CC1=CC(=NC(=C1)NC(=S)NC2=CC(=CC=C2)OC)C,0.3,low
6407663,C1=CC=C2C(=C1)C(=O)N=C3N2NN=C3C4=CC(=CC=C4)Br,0.3,low
9556873,C1OC2=C(O1)C=C(C=C2)/C=N/NC(=O)COC3=CC=CC=C3,0.3,low
17582742,CC1=C(C(=O)OC2=C1C=CC(=C2)OCC(=O)NC3=CC=CC=N3)C,0.3,low
791078,CCC1=C(N=C(C(=C1C2=CC=CC=C2)C#N)N)C,0.3,low
960733,CC1=C(C=C(C=C1)N2N=C3C=CC(=CC3=N2)N)Cl,0.3,low
239525,C1=CC=C(C=C1)NC(=O)NC2=CC=CC3=CC=CC=C32,0.3,low
2738836,C1=CC(=CC(=C1)Cl)NC(=O)NCC2=CSC(=N2)C3=CC=CS3,0.3,low
135439774,COC1=CC=C(C=C1)C2=CN=NC(=N2)N/N=C/C3=CC=C(C=C3)O,0.3,low
6175647,C1=CC2=C(C(=C1)O)N=C(C=C2)/C=C/C3=CC=C(C=C3)[N+](=O)[O-],0.3,low
1476993,CC1=C(SN=N1)S(=O)C2=CC=C(C=C2)Br,0.3,low
4903451,COC1=CC2=C(C=C1)C=C(N2)C(=O)NCCC3=CC=CC=C3,0.3,low
3822759,CN(C)C1=CC(=C(C2=NON=C12)[N+](=O)[O-])NC3=CC(=CC=C3)O,0.4,low
2811843,CC1=CC=C(C=C1)CC2=CC(=NNC2=O)C3=CC=C(C=C3)C,0.4,low
3439528,C1=CC(=CC=C1C(=O)NC2=NC(=NC=C2)C3=CC=NC=C3)F,0.4,low
46507580,C1C(/C(=N/O)/OC2=CC=CC=C21)C(=O)NC3=CC=C(C=C3)Br,0.4,low
16194088,CC1=C2C(=CC=C1)OCC3=C2SC(=C3)C(=O)NC4=CC=CC(=N4)C,0.4,low
135418650,COC1=CC=C(C=C1)N=C2NC(=O)/C(=C/C=C/C3=CC=CC=C3)/S2,0.4,low
1302080,C1C2=C(C=C(C=C2)NC(=S)NC(=O)CCC3=CC=CC=C3)C(=O)O1,0.4,low
5016616,COC1=CC=C(C=C1)C2=CC(=NO2)C(=O)NC3=CC(=CC=C3)Cl,0.4,low
2740105,C1CCN(C1)C2=NSC(=C2C#N)C3=CC=CC=C3,0.4,low
702340,CC1=CC(=C2C(=C1)SC(=N2)NC(=O)C3=CC=CO3)C,0.4,low
6498387,C1COC2=C(O1)C=CC(=C2)N3C(=C(N=N3)C(=O)NC4=CC=CC=C4)N,0.4,low
1505193,C1=CC=C(C=C1)COC(=O)C2=NN(N=C2N)C3=CC=CC=C3,0.4,low
3426066,C1CN(CCN1C2=CC(=CC=C2)Cl)C3=NC=C(C=C3)[N+](=O)[O-],0.4,low
2920402,CC1=CC=C(C=C1)C(C2=CC(=C3C=CC=NC3=C2O)Cl)NC(=O)C,0.4,low
817359,CC(=O)C1=CC=C(C=C1)NC(=S)NC(=O)CC2=CC=C(C=C2)Cl,0.4,low
7920318,CCCCC1=NN=C(S1)NC(=O)C2=C(C3=CC=CC=C3O2)C,0.4,low
2805330,C1=CC2=C(C=C1Br)C=C(O2)C3=CC=NN3,0.5,low
1090755,CC(=O)NC1=CC=C(C=C1)NC(=O)C2=CC=C(O2)C3=CC=CC=C3Cl,0.5,low
